Meal,Category,Area,Instructions,MealThumb,Source,Ingredients
Ribollita,Vegetarian,Italian,"Put 2 tablespoons of the oil in a large pot over medium heat. When it’s hot, add onion, carrot, celery and garlic; sprinkle with salt and pepper and cook, stirring occasionally, until vegetables are soft, 5 to 10 minutes.
Heat the oven to 500 degrees. Drain the beans; if they’re canned, rinse them as well. Add them to the pot along with tomatoes and their juices and stock, rosemary and thyme. Bring to a boil, then reduce heat so the soup bubbles steadily; cover and cook, stirring once or twice to break up the tomatoes, until the flavors meld, 15 to 20 minutes.
Fish out and discard rosemary and thyme stems, if you like, and stir in kale. Taste and adjust seasoning. Lay bread slices on top of the stew so they cover the top and overlap as little as possible. Scatter red onion slices over the top, drizzle with the remaining 3 tablespoons oil and sprinkle with Parmesan.
Put the pot in the oven and bake until the bread, onions and cheese are browned and crisp, 10 to 15 minutes. (If your pot fits under the broiler, you can also brown the top there.) Divide the soup and bread among 4 bowls and serve.",https://www.themealdb.com/images/media/meals/xrrwpx1487347049.jpg,https://cooking.nytimes.com/recipes/1016052-ribollita,"5 tablespoons Olive Oil, 1 chopped Onion, 1 chopped Carrot, 1 stalk chopped Celery, 1 tablespoon minced Garlic, 2 cups Cannellini Beans, 1 Canned tomatoes, 4 cups Water, 1 fresh sprig Rosemary, 1 fresh sprig Thyme, 1 pound chopped Kale, 4 thick slices Wholegrain Bread, 1 thinly sliced Red Onion, ½ cup freshly grated Parmesan,  ,  ,  ,  ,  ,  "
Beef Brisket Pot Roast,Beef,American,"1 Prepare the brisket for cooking: On one side of the brisket there should be a layer of fat, which you want. If there are any large chunks of fat, cut them off and discard them. Large pieces of fat will not be able to render out completely.
Using a sharp knife, score the fat in parallel lines, about 3/4-inch apart. Slice through the fat, not the beef. Repeat in the opposite direction to make a cross-hatch pattern.
Salt the brisket well and let it sit at room temperature for 30 minutes.
 
2 Sear the brisket: You'll need an oven-proof, thick-bottomed pot with a cover, or Dutch oven, that is just wide enough to hold the brisket roast with a little room for the onions.
Pat the brisket dry and place it, fatty side down, into the pot and place it on medium high heat. Cook for 5-8 minutes, lightly sizzling, until the fat side is nicely browned. (If the roast seems to be cooking too fast, turn the heat down to medium. You want a steady sizzle, not a raging sear.)
Turn the brisket over and cook for a few minutes more to brown the other side.

3 Sauté the onions and garlic: When the brisket has browned, remove it from the pot and set aside. There should be a couple tablespoons of fat rendered in the pot, if not, add some olive oil.
Add the chopped onions and increase the heat to high. Sprinkle a little salt on the onions. Sauté, stirring often, until the onions are lightly browned, 5-8 minutes. Stir in the garlic and cook 1-2 more minutes.
 
4 Return brisket to pot, add herbs, stock, bring to simmer, cover, cook in oven: Preheat the oven to 300°F. Use kitchen twine to tie together the bay leaves, rosemary and thyme.
Move the onions and garlic to the sides of the pot and nestle the brisket inside. Add the beef stock and the tied-up herbs. Bring the stock to a boil on the stovetop.
Cover the pot, place the pot in the 300°F oven and cook for 3 hours. Carefully flip the brisket every hour so it cooks evenly.
 
5 Add carrots, continue to cook: After 3 hours, add the carrots. Cover the pot and cook for 1 hour more, or until the carrots are cooked through and the brisket is falling-apart tender.
6 Remove brisket to cutting board, tent with foil: When the brisket is falling-apart tender, take the pot out of the oven and remove the brisket to a cutting board. Cover it with foil. Pull out and discard the herbs.
7 Make sauce (optional): At this point you have two options. You can serve as is, or you can make a sauce with the drippings and some of the onions. If you serve as is, skip this step.
To make a sauce, remove the carrots and half of the onions, set aside and cover them with foil. Pour the ingredients that are remaining into the pot into a blender, and purée until smooth. If you want, add 1 tablespoon of mustard to the mix. Put into a small pot and keep warm.
8 Slice the meat across the grain: Notice the lines of the muscle fibers of the roast. This is the ""grain"" of the meat. Slice the meat perpendicular to these lines, or across the grain (cutting this way further tenderizes the meat), in 1/4-inch to 1/2-inch slices.
Serve with the onions, carrots and gravy. Serve with mashed, roasted or boiled potatoes, egg noodles or polenta.",https://www.themealdb.com/images/media/meals/ursuup1487348423.jpg,http://www.simplyrecipes.com/recipes/beef_brisket_pot_roast/,"4-5 pound Beef Brisket, Dash Salt, 3 Onion, 5 cloves Garlic, 1 Sprig Thyme, 1 sprig  Rosemary, 4 Bay Leaves, 2 cups beef stock, 3 Large Carrots, 1 Tbsp Mustard, 4 Mashed Potatoes,  ,  ,  ,  ,  ,  ,  ,  ,  "
Kentucky Fried Chicken,Chicken,American,"Preheat fryer to 350°F. Thoroughly mix together all the spice mix ingredients.
Combine spice mix with flour, brown sugar and salt.
Dip chicken pieces in egg white to lightly coat them, then transfer to flour mixture. Turn a few times and make sure the flour mix is really stuck to the chicken. Repeat with all the chicken pieces.
Let chicken pieces rest for 5 minutes so crust has a chance to dry a bit.
Fry chicken in batches. Breasts and wings should take 12-14 minutes, and legs and thighs will need a few more minutes. Chicken pieces are done when a meat thermometer inserted into the thickest part reads 165°F.
Let chicken drain on a few paper towels when it comes out of the fryer. Serve hot.",https://www.themealdb.com/images/media/meals/xqusqy1487348868.jpg,http://www.tablespoon.com/recipes/copycat-kfc-original-style-chicken/97c93d14-9d8c-4bc7-96dc-1e0b37e4fcaa,"1 whole Chicken, 2 quarts neutral frying Oil, 1 Egg White, 1 1/2 cups  Flour, 1 tablespoon Brown Sugar, 1 tablespoon Salt, 1 tablespoon paprika, 2 teaspoons onion salt, 1 teaspoon chili powder, 1 teaspoon black pepper, 1/2 teaspoon celery salt, 1/2 teaspoon sage, 1/2 teaspoon garlic powder, 1/2 teaspoon allspice, 1/2 teaspoon oregano, 1/2 teaspoon basil, 1/2 teaspoon marjoram,  ,  ,  "
Thai Green Curry,Chicken,Thai,"Put the potatoes in a pan of boiling water and cook for 5 minutes. Throw in the beans and cook for a further 3 minutes, by which time both should be just tender but not too soft. Drain and put to one side.
In a wok or large frying pan, heat the oil until very hot, then drop in the garlic and cook until golden, this should take only a few seconds. Don’t let it go very dark or it will spoil the taste. Spoon in the curry paste and stir it around for a few seconds to begin to cook the spices and release all the flavours. Next, pour in the coconut milk and let it come to a bubble.
Stir in the fish sauce and sugar, then the pieces of chicken. Turn the heat down to a simmer and cook, covered, for about 8 minutes until the chicken is cooked.
Tip in the potatoes and beans and let them warm through in the hot coconut milk, then add a lovely citrussy flavour by stirring in the shredded lime leaves (or lime zest). The basil leaves go in next, but only leave them briefly on the heat or they will quickly lose their brightness. Scatter with the lime garnish and serve immediately with boiled rice.",https://www.themealdb.com/images/media/meals/sstssx1487349585.jpg,http://www.bbcgoodfood.com/recipes/3235/thai-green-chicken-curry,"225g new potatoes, 100g  green beans, 1 tbsp sunflower oil, 1 clove garlic, 4 tsp  Thai green curry paste, 400ml coconut milk, 2 tsp Thai fish sauce, 1 tsp Sugar, 450g boneless Chicken, 2 fresh kaffir leaves lime, handfull basil, Boiled Rice,  ,  ,  ,  ,  ,  ,  ,  "
French Lentils With Garlic and Thyme,Miscellaneous,French,"Place a large saucepan over medium heat and add oil. When hot, add chopped vegetables and sauté until softened, 5 to 10 minutes.
Add 6 cups water, lentils, thyme, bay leaves and salt. Bring to a boil, then reduce to a fast simmer.
Simmer lentils until they are tender and have absorbed most of the water, 20 to 25 minutes. If necessary, drain any excess water after lentils have cooked. Serve immediately, or allow them to cool and reheat later.
For a fuller taste, use some chicken stock and reduce the water by the same amount.",https://www.themealdb.com/images/media/meals/vwwspt1487394060.jpg,,"3 tablespoons Olive Oil, 1 Onion, 2 cloves Garlic, 1 Carrot, 2 1/4 cups French Lentils, 1 teaspoon Thyme, 3 Bay Leaf, 1 tablespoon Salt, 2 sticks Celery,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
"Roasted Eggplant With Tahini, Pine Nuts, and Lentils",Vegetarian,American,"
For the Lentils: Adjust oven rack to center position and preheat oven to 450°F to prepare for roasting eggplant. Meanwhile, heat 2 tablespoons olive oil in a medium saucepan over medium heat until shimmering. Add carrots, celery, and onion and cook, stirring, until softened but not browned, about 4 minutes. Add garlic and cook, stirring, until fragrant, about 30 seconds. Add lentils, bay leaves, stock or water, and a pinch of salt. Bring to a simmer, cover with the lid partially ajar, and cook until lentils are tender, about 30 minutes. (Top up with water if lentils are at any point not fully submerged.) Remove lid, stir in vinegar, and reduce until lentils are moist but not soupy. Season to taste with salt and pepper, cover, and keep warm until ready to serve.

2.
For the Eggplant: While lentils cook, cut each eggplant in half. Score flesh with the tip of a paring knife in a cross-hatch pattern at 1-inch intervals. Transfer to a foil-lined rimmed baking sheet, cut side up, and brush each eggplant half with 1 tablespoon oil, letting each brushstroke be fully absorbed before brushing with more. Season with salt and pepper. Place a rosemary sprig on top of each one. Transfer to oven and roast until completely tender and well charred, 25 to 35 minutes. Remove from oven and discard rosemary.

3.
To Serve: Heat 2 tablespoons olive oil and pine nuts in a medium skillet set over medium heat. Cook, tossing nuts frequently, until golden brown and aromatic, about 4 minutes. Transfer to a bowl to halt cooking. Stir half of parsley and rosemary into lentils and transfer to a serving platter. Arrange eggplant halves on top. Spread a few tablespoons of tahini sauce over each eggplant half and sprinkle with pine nuts. Sprinkle with remaining parsley and rosemary, drizzle with additional olive oil, and serve.",https://www.themealdb.com/images/media/meals/ysqrus1487425681.jpg,http://www.seriouseats.com/recipes/2016/03/roasted-eggplant-tahini-pine-nut-lentil-vegan-experience-recipe.html,"2 tablespoons Olive Oil, 2 small cut into chunks Carrots, 2 small stalks Celery, 1 medium finely diced Onion, 6 medium cloves sliced Garlic, 12 ounces (340g) Brown Lentils, 2 Bay Leaves, 4 cups Water, Pinch Salt, 2 teaspoons (10ml) Apple Cider Vinegar, Pinch Pepper, 2 large Egg Plants, 4 sprigs Rosemary, 1/4 cup  Pine nuts, 2 tablespoons Parsley,  ,  ,  ,  ,  "
"Stovetop Eggplant With Harissa, Chickpeas, and Cumin Yogurt",Vegetarian,American,"Heat the oil in a 12-inch skillet over high heat until shimmering. Add the eggplants and lower the heat to medium. Season with salt and pepper as you rotate the eggplants, browning them on all sides. Continue to cook, turning regularly, until a fork inserted into the eggplant meets no resistance (you may have to stand them up on their fat end to finish cooking the thickest parts), about 20 minutes, lowering the heat and sprinkling water into the pan as necessary if the eggplants threaten to burn or smoke excessively.

2.
Mix the harissa, chickpeas and tomatoes together, then add to the eggplants. Cook until the tomatoes have blistered and broken down, about 5 minutes more. Season with salt and pepper and add water as necessary to thin to a saucy consistency. Meanwhile, combine the yogurt and cumin in a serving bowl. Season with salt and pepper.

3.
Top the eggplant mixture with the parsley, drizzle with more extra virgin olive oil, and serve with the yogurt on the side.",https://www.themealdb.com/images/media/meals/yqwtvu1487426027.jpg,http://www.seriouseats.com/2014/09/one-pot-wonders-stovetop-eggplant-harissa-chickpeas-cumin.html,"4 tablespoons Olive Oil, 6 small Egg Plants, ½ tablespoon Harissa, 1 can Chickpeas, 2 cups halved Cherry Tomatoes, 1 1/2 cups Greek yogurt, 1 tablespoon Ground cumin, ½ cup  Parsley,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Chicken Fajita Mac and Cheese,Chicken,American,"Fry your onion, peppers and garlic in olive oil until nicely translucent. Make a well in your veg and add your chicken. Add your seasoning and salt. Allow to colour slightly.
Add your cream, stock and macaroni.
Cook on low for 20 minutes. Add your cheeses, stir to combine.
Top with roasted peppers and parsley.",https://www.themealdb.com/images/media/meals/qrqywr1503066605.jpg,http://twistedfood.co.uk/chicken-fajita-mac-n-cheese/,"500g macaroni, 2 cups chicken stock, 1/2 cup heavy cream, 1 packet fajita seasoning, 1 tsp salt, 3 diced chicken breast, 2 tbsp olive oil, 1 small finely diced onion, 2 finely diced red pepper, 2 cloves minced garlic, 1 cup cheddar cheese, garnish chopped parsley,  ,  ,  ,  ,  ,  ,  ,  "
Cajun spiced fish tacos,Seafood,Mexican,"Cooking in a cajun spice and cayenne pepper marinade makes this fish super succulent and flavoursome. Top with a zesty dressing and serve in a tortilla for a quick, fuss-free main that's delightfully summery.

On a large plate, mix the cajun spice and cayenne pepper with a little seasoning and use to coat the fish all over.

Heat a little oil in a frying pan, add in the fish and cook over a medium heat until golden. Reduce the heat and continue frying until the fish is cooked through, about 10 minutes. Cook in batches if you don’t have enough room in the pan.

Meanwhile, prepare the dressing by combining all the ingredients with a little seasoning.
Soften the tortillas by heating in the microwave for 5-10 seconds. Pile high with the avocado, lettuce and spring onion, add a spoonful of salsa, top with large flakes of fish and drizzle over the dressing.",https://www.themealdb.com/images/media/meals/uvuyxu1503067369.jpg,https://realfood.tesco.com/recipes/cajun-spiced-fish-tacos.html,"2 tbsp cajun, 1 tsp cayenne pepper, 4 fillets white fish, 1 tsp vegetable oil, 8 flour tortilla, 1 sliced avocado, 2 shredded little gem lettuce, 4 shredded spring onion, 1 x 300ml salsa, 1 pot sour cream, 1 lemon, 1 clove finely chopped garlic,  ,  ,  ,  ,  ,  ,  ,  "
Katsu Chicken curry,Chicken,Japanese,"Prep:15min  ›  Cook:30min  ›  Ready in:45min 

For the curry sauce: Heat oil in medium non-stick saucepan, add onion and garlic and cook until softened. Stir in carrots and cook over low heat for 10 to 12 minutes.
Add flour and curry powder; cook for 1 minute. Gradually stir in stock until combined; add honey, soy sauce and bay leaf. Slowly bring to the boil.
Turn down heat and simmer for 20 minutes or until sauce thickens but is still of pouring consistency. Stir in garam masala. Pour the curry sauce through a sieve; return to saucepan and keep on low heat until ready to serve.
For the chicken: Season both sides of chicken breasts with salt and pepper. Place flour, egg and breadcrumbs in separate bowls and arrange in a row. Coat the chicken breasts in flour, then dip them into the egg, then coat in breadcrumbs, making sure you cover both sides.
Heat oil in large frying pan over medium-high heat. Place chicken into hot oil and cook until golden brown, about 3 or 4 minutes each side. Once cooked, place on kitchen paper to absorb excess oil.
Pour curry sauce over chicken, serve with white rice and enjoy!",https://www.themealdb.com/images/media/meals/vwrpps1503068729.jpg,http://allrecipes.co.uk/recipe/29578/chicken-katsu-curry.aspx,"4 pounded to 1cm thickness chicken breast, 2 tablespoons plain flour, 1 beaten egg, 100g fine breadcrumbs, 230ml frying vegetable oil, 2 tablespoons sunflower oil, 2 sliced onions, 5 chopped cloves garlic, 2 sliced carrot, 2 tablespoons plain flour, 4 teaspoons curry powder, 600ml chicken stock, 2 teaspoons honey, 4 teaspoons soy sauce, 1 bay leaf, 1 teaspoon garam masala,  ,  ,  ,  "
Laksa King Prawn Noodles,Seafood,Malaysian,"Heat the oil in a medium saucepan and add the chilli. Cook for 1 min, then add the curry paste, stir and cook for 1 min more. Dissolve the stock cube in a large jug in 700ml boiling water, then pour into the pan and stir to combine. Tip in the coconut milk and bring to the boil.
Add the fish sauce and a little seasoning. Toss in the noodles and cook for a further 3-4 mins until softening. Squeeze in the lime juice, add the prawns and cook through until warm, about 2-3 mins. Scatter over some of the coriander.
Serve in bowls with the remaining coriander and lime wedges on top for squeezing over.",https://www.themealdb.com/images/media/meals/rvypwy1503069308.jpg,https://www.bbcgoodfood.com/recipes/prawn-laksa-curry-bowl,"1 tbsp Olive Oil, 1 finely sliced red chili, 2 ½ tbsp Thai red curry paste, 1 vegetable stock cube, 400ml can coconut milk, 2 tsp fish sauce, 100g rice noodles, 2 juice of 1, the other halved lime, 150g king prawns, ½ small pack coriander,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Toad In The Hole,Pork,British,"Preheat the oven to 200°C/fan180°C/gas 6. fry sausages in a non-stick pan until browned.
Drizzle vegetable oil in a 30cm x 25cm x 6cm deep roasting tray and heat in the oven for 5 minutes.
Put the plain flour in a bowl, crack in the medium free-range eggs, then stir in the grated horseradish. Gradually beat in the semi-skimmed milk. Season.
Put the sausages into the hot roasting tray and pour over the batter. Top with cherry tomatoes on the vine and cook for 30 minutes until puffed and golden.",https://www.themealdb.com/images/media/meals/ytuvwr1503070420.jpg,http://www.deliciousmagazine.co.uk/recipes/georgina-fuggles-horseradish-and-vine-tomato-toad-in-the-hole/,"8 sausages, 3 tbsp vegetable oil, 100g plain flour, 2 medium eggs, 1 tbsp grated horseradish, 225ml milk, 200g cherry tomatoes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Salmon Prawn Risotto,Seafood,Italian,"Melt the butter in a thick-based pan and gently cook the onion without colour until it is soft.
Add the rice and stir to coat all the grains in the butter
Add the wine and cook gently stirring until it is absorbed
Gradually add the hot stock, stirring until each addition is absorbed. Keep stirring until the rice is tender
Season with the lemon juice and zest, and pepper to taste. (there will probably be sufficient saltiness from the salmon to not need to add salt) Stir gently to heat through
Serve scattered with the Parmesan and seasonal vegetables.
Grill the salmon and gently place onto the risotto with the prawns and asparagus",https://www.themealdb.com/images/media/meals/xxrxux1503070723.jpg,http://www.rangemaster.co.uk/rangemaster-owners/recipes-ideas-inspiration/recipes/mains/prawn-and-hot-smoked-salmon-risotto-with-asparagus,"50g/2oz butter, 1 finely chopped  onion, 150g rice, 125ml  white wine, 1 litre hot vegetable stock, The juice and zest of one lemon, 240g large King Prawns, 150g salmon, 100g tips blanched briefly in boiling water asparagus, ground black pepper, 50g shavings Parmesan,  ,  ,  ,  ,  ,  ,  ,  ,  "
Beef Sunday Roast,Beef,British,"Cook the Broccoli and Carrots in a pan of boiling water until tender.

Roast the Beef and Potatoes in the oven for 45mins, the potatoes may need to be checked regularly to not overcook.

To make the Yorkshire puddings:
Heat oven to 230C/fan 210C/gas 8. Drizzle a little sunflower oil evenly into 2 x 4-hole Yorkshire pudding tins or a 12-hole non-stick muffin tin and place in the oven to heat through
To make the batter, tip 140g plain flour into a bowl and beat in four eggs until smooth. Gradually add 200ml milk and carry on beating until the mix is completely lump-free. Season with salt and pepper. Pour the batter into a jug, then remove the hot tins from the oven. Carefully and evenly pour the batter into the holes. Place the tins back in the oven and leave undisturbed for 20-25 mins until the puddings have puffed up and browned. Serve immediately.

Plate up and add the Gravy as desired.",https://www.themealdb.com/images/media/meals/ssrrrs1503664277.jpg,https://www.bbcgoodfood.com/recipes/9020/best-yorkshire-puddings,"8 slices Beef, 12 florets Broccoli, 1 Packet Potatoes, 1 Packet Carrots, 140g plain flour, 4 Eggs, 200ml milk, drizzle (for cooking) sunflower oil,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Braised Beef Chilli,Beef,Mexican,"Preheat the oven to 120C/225F/gas mark 1.

Take the meat out of the fridge to de-chill. Pulse the onions and garlic in a food processor until finely chopped. Heat 2 tbsp olive oil in a large casserole and sear the meat on all sides until golden.

Set to one side and add another small slug of oil to brown the chorizo. Remove and add the onion and garlic, spices, herbs and chillies then cook until soft in the chorizo oil. Season with salt and pepper and add the vinegar, tomatoes, ketchup and sugar.

Put all the meat back into the pot with 400ml water (or red wine if you prefer), bring up to a simmer and cook, covered, in the low oven.

After 2 hours, check the meat and add the beans. Cook for a further hour and just before serving, pull the meat apart with a pair of forks.",https://www.themealdb.com/images/media/meals/uuqvwu1504629254.jpg,http://www.telegraph.co.uk/food-and-drink/recipes/braised-beef-chilli-con-carne/,"1kg Beef, 3 Onions, 4 cloves Garlic, Dash Olive oil, 300g Chorizo, 2 tsp Cumin, 2 tsp All spice, 1 tsp Cloves, 1 large Cinnamon stick, 3 Bay Leaves, 2 tsp dried Oregano, 2 ancho Ancho Chillies, 3 tbsp Balsamic Vinegar, 2 x 400g Plum Tomatoes, 2 tbsp Tomato Ketchup, 2 tbsp Dark Brown Sugar, 2 x 400g tins Borlotti Beans,  ,  ,  "
Massaman Beef curry,Beef,Thai,"Heat oven to 200C/180C fan/gas 6, then roast the peanuts on a baking tray for 5 mins until golden brown. When cool enough to handle, roughly chop. Reduce oven to 180C/160C fan/gas 4.
Heat 2 tbsp coconut cream in a large casserole dish with a lid. Add the curry paste and fry for 1 min, then stir in the beef and fry until well coated and sealed. Stir in the rest of the coconut with half a can of water, the potatoes, onion, lime leaves, cinnamon, tamarind, sugar, fish sauce and most of the peanuts. Bring to a simmer, then cover and cook for 2 hrs in the oven until the beef is tender.
Sprinkle with sliced chilli and the remaining peanuts, then serve straight from the dish with jasmine rice.",https://www.themealdb.com/images/media/meals/tvttqv1504640475.jpg,https://www.bbcgoodfood.com/recipes/420631/beef-massaman-curry,"85g Peanuts, 400ml can Coconut cream, 4 tbsp Massaman curry paste, 600g stewing cut into strips Beef, 450g waxy Potatoes, 1 cut thin wedges Onion, 4 leaves Lime, 1 Cinnamon stick, 1 tbsp Tamarind paste, 1 tbsp palm or soft light Brown sugar, 1 tbsp Fish Sauce, 1 red deseeded and finely sliced, to serve chilli, to serve Jasmine Rice,  ,  ,  ,  ,  ,  ,  "
Vietnamese Grilled Pork (bun-thit-nuong),Pork,Vietnamese,"Slice the uncooked pork thinly, about ⅛"". It helps to slightly freeze it (optional).
Mince garlic and shallots. Mix in a bowl with sugar, fish sauce, thick soy sauce, pepper, and oil until sugar dissolves.
Marinate the meat for 1 hour, or overnight for better results.
Bake the pork at 375F for 10-15 minutes or until about 80% cooked. Finish cooking by broiling in the oven until a nice golden brown color develops, flipping the pieces midway.
Assemble your bowl with veggies, noodles, and garnish. Many like to mix the whole bowl up and pour the fish sauce on top, but I like to make individual bites and sauce it slowly.",https://www.themealdb.com/images/media/meals/qqwypw1504642429.jpg,http://www.hungryhuy.com/bun-thit-nuong-recipe-vietnamese-grilled-bbq-pork-with-rice-vermicelli-vegetables/,"1.5 pounds sliced Pork, 1 package thin Rice Vermicelli, 4-6 Egg Rolls, 3 tablespoons minced Challots, 1.5 tablespoons minced garlic Garlic, ¼ cup Sugar, 1 tablespoon Fish Sauce, ½ tablespoon thick Soy sauce, ½ tablespoon Pepper, 3 tablespoons Olive Oil, Sliced Cucumber, Leaves Mint, Crushed Peanuts,  ,  ,  ,  ,  ,  ,  "
Grilled Mac and Cheese Sandwich,Pasta,American,"Make the mac and cheese

1. Bring a medium saucepan of generously salted water (you want it to taste like seawater) to a boil. Add the pasta and cook, stirring occasionally, until al dente, 8 to 10 minutes, or according to the package directions. The pasta should be tender but still chewy.
2. While the pasta is cooking, in a small bowl, whisk together the flour, mustard powder, garlic powder, salt, black pepper, and cayenne pepper.
3. Drain the pasta in a colander. Place the empty pasta pan (no need to wash it) over low heat and add the butter. When the butter has melted, whisk in the flour mixture and continue to cook, whisking frequently, until the mixture is beginning to brown and has a pleasant, nutty aroma, about 1 minute. Watch carefully so it does not scorch on the bottom of the pan.
4. Slowly whisk the milk and cream into the flour mixture until everything is really well combined. Cook, whisking constantly, until the sauce is heated through and just begins to thicken, about 2 minutes. Remove from the heat. Gradually add the cheese while stirring constantly with a wooden spoon or silicone spatula and keep stirring until the cheese has melted into the sauce. Then stir in the drained cooked pasta.
5. Line a 9-by-13-inch (23-by-33-centimeter) rimmed baking sheet with parchment paper or aluminum foil. Coat the paper or foil with nonstick cooking spray or slick it with butter. Pour the warm mac and cheese onto the prepared baking sheet and spread it evenly with a spatula. Coat another piece of parchment paper with cooking spray or butter and place it, oiled or buttered side down, directly on the surface of the mac and cheese. Refrigerate until cool and firm, about 1 hour.

Make the grilled cheese
6. Heat a large cast-iron or nonstick skillet over medium-low heat.
7. In a small bowl, stir together the 4 tablespoons (55 grams) butter and garlic powder until well blended.
8. Remove the mac and cheese from the refrigerator and peel off the top layer of parchment paper. Carefully cut into 8 equal pieces. Each piece will make 1 grilled mac and cheese sandwich. (You can stash each individual portion in a double layer of resealable plastic bags and refrigerate for up to 3 days or freeze it for up to 1 month.)
9. Spread 3/4 teaspoon garlic butter on one side of each bread slice. Place half of the slices, buttered-side down, on a clean cutting board. Top each with one slice of Cheddar, then 1 piece of the mac and cheese. (Transfer from the baking sheet by scooting your hand or a spatula under each piece of mac and cheese and then flipping it over onto a sandwich.) Place 1 slice of Jack on top of each. Finish with the remaining bread slices, buttered-side up.
10. Using a wide spatula, place as many sandwiches in the pan as will fit without crowding it. Cover and cook until the bottoms are nicely browned, about 4 minutes. Turn and cook until the second sides are browned, the cheese is melted, and the mac and cheese is heated through, about 4 minutes more.
11. Repeat with the remaining ingredients. Cut the sandwiches in half, if desired, and serve.",https://www.themealdb.com/images/media/meals/xutquv1505330523.jpg,https://leitesculinaria.com/103647/recipes-grilled-mac-and-cheese-sandwich.html,"8 ounces (230 grams) Macaroni, 1/3 cup Plain Flour, 3/4 teaspoon Mustard Powder, 1/2 teaspoon Garlic powder, 1/2 teaspoon Kosher salt, 1/2 teaspoon Black pepper, 1/8 teaspoon Cayenne pepper, 6 tablespoons (85 grams) Butter, 1 1/2 cups (360 milliliters) Whole Milk, 1 cup (240 milliliters) Heavy Cream, 1 pound (455 grams)  Monterey Jack Cheese, 4 tablespoons (55 grams) Butter, 1 teaspoon garlic powder, 16 slices square Bread, 8 slices mild Cheddar Cheese, 8 slices Colby Jack Cheese, 4 tablespoons (55 grams) Butter,  ,  ,  "
Crock Pot Chicken Baked Tacos,Chicken,Mexican,"Put the uncooked chicken breasts in the crock pot. Pour the full bottle of salad dressing over the chicken. Sprinkle the rest of the ingredients over the top and mix them in a bit with a spoon.
Cover your crock pot with the lid and cook on high for 4 hours.
Remove all the chicken breasts from the crock pot and let cool.
Shred the chicken breasts and move to a glass bowl.
Pour most of the liquid over the shredded chicken.
FOR THE TACOS:
Make the guacamole sauce by mixing the avocado and green salsa together. Pour the guacamole mixture through a strainer until smooth and transfer to a squeeze bottle. Cut the tip off the lid of the squeeze bottle to make the opening more wide if needed.
Make the sour cream sauce by mixing the sour cream and milk together until you get a more liquid sour cream sauce. Transfer to a squeeze bottle.
In a 9x 13 glass baking dish, fill all 12+ tacos with a layer of refried beans, cooked chicken and shredded cheese.
Bake at 450 for 10-15 minutes just until the cheese is melted and bubbling.
Out of the oven top all the tacos with the sliced grape tomaotes, jalapeno and cilantro.
Finish with a drizzle of guacamole and sour cream.
Enjoy!",https://www.themealdb.com/images/media/meals/ypxvwv1505333929.jpg,http://www.nobiggie.net/crock-pot-chicken-baked-tacos/,"4 - 6 Chicken Breasts, 1 bottle Vinaigrette Dressing, 1½ tablespoon Cumin, 1 tablespoon Smoked Paprika, 1 teaspoon Garlic, 1 can Refried Beans, 12 Hard Taco Shells, 2 cups Shredded Mexican Cheese, Halved Grape Tomatoes, Sliced and Seeded Jalapeno, Peeled and Sliced Avocado, 2 tablespoons Green Salsa, 3 tablespoons Sour Cream, 1 tablespoon Milk,  ,  ,  ,  ,  ,  "
Chicken Karaage,Chicken,Japanese,"Add the ginger, garlic, soy sauce, sake and sugar to a bowl and whisk to combine. Add the chicken, then stir to coat evenly. Cover and refrigerate for at least 1 hour.

Add 1 inch of vegetable oil to a heavy bottomed pot and heat until the oil reaches 360 degrees F. Line a wire rack with 2 sheets of paper towels and get your tongs out. Put the potato starch in a bowl

Add a handful of chicken to the potato starch and toss to coat each piece evenly.

Fry the karaage in batches until the exterior is a medium brown and the chicken is cooked through. Transfer the fried chicken to the paper towel lined rack. If you want the karaage to stay crispy longer, you can fry the chicken a second time, until it's a darker color after it's cooled off once. Serve with lemon wedges.",https://www.themealdb.com/images/media/meals/tyywsw1505930373.jpg,https://norecipes.com/karaage-recipe,"450 grams Boneless skin Chicken thigh, 1 tablespoon Ginger, 1 clove Garlic, 2 tablespoons Soy sauce, 1 tablespoon Sake, 2 teaspoon Granulated sugar, 1/3 cup Potato starch, 1/3 cup Vegetable oil, 1/3 cup Lemon,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
