Meal,Category,Area,Instructions,MealThumb,Source,Ingredients
Grilled Asian Chicken,Chinese,Asian,"In a small microwave-safe bowl, combine the soy sauce, oil, honey, ginger root, and garlic. Heat in microwave on medium for 1 minute, then stir. Heat again for 30 seconds, watching closely to prevent boiling.; Place chicken breasts in a shallow dish. Pour soy sauce mixture over, and set aside to marinate for 15 minutes.; Preheat a grill for medium-high heat. Drain marinade from chicken into a small saucepan. Bring to a boil, and simmer over medium heat for 5 minutes. Set aside for basting.; Lightly oil the grill grate. Cook chicken on the prepared grill 6 to 8 minutes per side, or until juices run clear. Baste frequently with remaining marinade. Chicken will turn a beautiful golden brown.; ; ",https://images.media-allrecipes.com/userphotos/250x250/931745.jpg,https://www.allrecipes.com/recipe/8919/grilled-asian-chicken/,"1/4 cup soy sauce; 4 teaspoons sesame oil; 2 tablespoons honey; 3 slices fresh ginger root; 2 cloves garlic, crushed; 4 skinless, boneless chicken breast halves; "
Thai Green Curry Chicken,Thai,Asian,"Toss chicken first in 1 tablespoon dark soy sauce, then in the flour, coating pieces evenly. Heat the oil in a large skillet over medium high heat. Place chicken in the skillet, cook and stir chicken until browned, about 5 minutes. Remove chicken.; Reduce heat to medium and stir in curry paste. Cook for 1 minute until fragrant, then stir in green onions, garlic, and ginger; cook an additional 2 minutes. Return chicken to the skillet, stirring to coat with the curry mixture. Stir the coconut milk, fish sauce, 1 tablespoon soy sauce, and sugar into the chicken-curry mixture. Allow to simmer over medium heat for 20 minutes until the chicken is tender. Serve garnished with cilantro leaves.; ; ",https://images.media-allrecipes.com/userphotos/560x315/2352284.jpg,https://www.allrecipes.com/recipe/141833/thai-green-curry-chicken/,"1 pound skinless, boneless chicken breast halves - cut into 1 inch cubes; 1 tablespoon dark soy sauce; 1 tablespoon all-purpose flour; 2 tablespoons cooking oil; 2 tablespoons green curry paste; 2 green onions with tops, chopped; 3 cloves garlic, peeled and chopped; 1 teaspoon fresh ginger, peeled and finely chopped; 2 cups coconut milk; 1 tablespoon fish sauce; 1 tablespoon dark soy sauce; 2 tablespoons white sugar; 1/2 cup cilantro leaves, for garnish; "
Thai Peanut Chicken,Asian,Asian,"Combine the rice and water in a saucepan over medium-high heat. Bring to a boil, then reduce heat to low, cover, and simmer for 20 minutes, or until rice is tender. In a small bowl, stir together the soy sauce, peanut butter, vinegar, and cayenne pepper. Set aside.; Heat oil in a skillet or wok over high heat. Add chicken, garlic and ginger, and cook, stirring constantly, until chicken is golden on the outside, about 5 minutes.; Reduce heat to medium, and add green onion, broccoli, peanuts, and the peanut butter mixture. Cook, stirring frequently, for 5 minutes, or until broccoli is tender, and chicken is cooked through. Serve over rice.; ; ",https://images.media-allrecipes.com/userphotos/560x315/3314.jpg,https://www.allrecipes.com/recipe/50658/thai-peanut-chicken/,"2 cups uncooked white rice; 4 cups water; 3 tablespoons soy sauce; 2 tablespoons creamy peanut butter; 2 teaspoons white wine vinegar; 1/4 teaspoon cayenne pepper; 3 tablespoons olive oil; 4 skinless, boneless chicken breast halves - cut into thin strips; 3 tablespoons chopped garlic; 1 1/2 tablespoons chopped fresh ginger root; 3/4 cup chopped green onions; 2 1/2 cups broccoli florets; 1/3 cup unsalted dry-roasted peanuts; "
Thai Cucumber Salad,Cucumber Salad,Asian,"Toss the cucumbers with the salt in a colander, and leave in the sink to drain for 30 minutes. Rinse with cold water, then drain and pat dry with paper towels.; Whisk together the sugar and vinegar in a mixing bowl until the sugar has dissolved. Add the cucumbers, jalapeno peppers, and cilantro; toss to combine. Sprinkle chopped peanuts on top before serving.; ; ",https://images.media-allrecipes.com/userphotos/560x315/576740.jpg,https://www.allrecipes.com/recipe/169593/thai-cucumber-salad/,"3 large cucumbers, peeled, halved lengthwise, seeded, and cut into 1/4-inch slices; 1 tablespoon salt; 1/2 cup white sugar; 1/2 cup rice wine vinegar; 2 jalapeno peppers, seeded and chopped; 1/4 cup chopped cilantro; 1/2 cup chopped peanuts; "
Sweet and Spicy Stir Fry with Chicken and Broccoli,Asian,Asian,"Place broccoli in a steamer over 1 inch of boiling water, and cover. Cook until tender but still firm, about 5 minutes.; Heat the oil in a skillet over medium heat, and saute the chicken, green onions, and garlic until the chicken is no longer pink and juices run clear.; Stir the hoisin sauce, chile paste, and soy sauce into the skillet; season with ginger, red pepper, salt, and black pepper. Stir in the chicken stock and simmer about 2 minutes. Mix in the steamed broccoli until coated with the sauce mixture.; ; ",https://images.media-allrecipes.com/userphotos/250x250/370252.jpg,https://www.allrecipes.com/recipe/70585/sweet-and-spicy-stir-fry-with-chicken-and-broccoli/,"3 cups broccoli florets; 1 tablespoon olive oil; 2 skinless, boneless chicken breast halves - cut into 1 inch strips; 1/4 cup sliced green onions; 4 cloves garlic, thinly sliced; 1 tablespoon hoisin sauce; 1 tablespoon chile paste; 1 tablespoon low sodium soy sauce; 1/2 teaspoon ground ginger; 1/4 teaspoon crushed red pepper; 1/2 teaspoon salt; 1/2 teaspoon black pepper; 1/8 cup chicken stock; "
Korean BBQ Chicken Marinade,Marinades,Asian,"In a medium saucepan over high heat, whisk together the sugar, soy sauce, water, onion powder, and ground ginger. Bring to a boil. Reduce heat to low, and simmer 5 minutes.; Remove the mixture from heat, cool, and whisk in lemon juice and hot chile paste. Place chicken in the mixture. Cover, and marinate in the refrigerator at least 4 hours before preparing chicken as desired.; ; ",https://images.media-allrecipes.com/userphotos/560x315/5515380.jpg,https://www.allrecipes.com/recipe/21033/korean-bbq-chicken-marinade/,1 cup white sugar; 1 cup soy sauce; 1 cup water; 1 teaspoon onion powder; 1 teaspoon ground ginger; 1 tablespoon lemon juice (optional); 4 teaspoons hot chile paste (optional); 
Honey Walnut Shrimp,Chinese,Asian,"Stir together the water and sugar in a small saucepan. Bring to a boil and add the walnuts. Boil for 2 minutes, then drain and place walnuts on a cookie sheet to dry.; Whip egg whites in a medium bowl until foamy. Stir in the mochiko until it has a pasty consistency. Heat the oil in a heavy deep skillet over medium-high heat. Dip shrimp into the mochiko batter, and then fry in the hot oil until golden brown, about 5 minutes. Remove with a slotted spoon and drain on paper towels.; In a medium serving bowl, stir together the mayonnaise, honey and sweetened condensed milk. Add shrimp and toss to coat with the sauce. Sprinkle the candied walnuts on top and serve.; ; ",https://images.media-allrecipes.com/userphotos/560x315/270515.jpg,https://www.allrecipes.com/recipe/93234/honey-walnut-shrimp/,"1 cup water; 2/3 cup white sugar; 1/2 cup walnuts; 4 egg whites; 2/3 cup mochiko (glutinous rice flour); 1/4 cup mayonnaise; 1 pound large shrimp, peeled and deveined; 2 tablespoons honey; 1 tablespoon canned sweetened condensed milk; 1 cup vegetable oil for frying; "
Yakisoba Chicken,Japanese,Asian,"In a large skillet combine sesame oil, canola oil and chili paste; stir-fry 30 seconds. Add garlic and stir fry an additional 30 seconds. Add chicken and 1/4 cup of the soy sauce and stir fry until chicken is no longer pink, about 5 minutes. Remove mixture from pan, set aside, and keep warm.; In the emptied pan combine the onion, cabbage, and carrots. Stir-fry until cabbage begins to wilt, 2 to 3 minutes. Stir in the remaining soy sauce, cooked noodles, and the chicken mixture to pan and mix to blend. Serve and enjoy!; ; ",https://images.media-allrecipes.com/userphotos/560x315/2220105.jpg,https://www.allrecipes.com/recipe/8628/yakisoba-chicken/,"1/2 teaspoon sesame oil; 1 tablespoon canola oil; 2 tablespoons chile paste; 2 cloves garlic, chopped; 4 skinless, boneless chicken breast halves - cut into 1 inch cubes; 1/2 cup soy sauce; 1 onion, sliced lengthwise into eighths; 1/2 medium head cabbage, coarsely chopped; 2 carrots, coarsely chopped; 8 ounces soba noodles, cooked and drained; "
Shrimp Fried Rice II,Fried Rice,Asian,"In a saucepan bring water to a boil. Add rice and stir. Reduce heat, cover and simmer for 20 minutes. Set aside and allow rice to cool.; Heat a large skillet or wok for 2 minutes.  When the skillet or wok is hot, pour in vegetable oil, bean sprouts and onions. Mix well and cook for 3 minutes.; Mix in cooled rice and shrimp and cook for another 3 minutes. Stirring constantly.; Mix in green onions, eggs, salt, pepper, soy sauce and sesame oil. Cook for another 4 minutes, stirring continuously, until eggs are cooked and everything is blended evenly.; ; ",https://images.media-allrecipes.com/userphotos/560x315/4557813.jpg,https://www.allrecipes.com/recipe/21561/shrimp-fried-rice-ii/,"1 1/2 cups uncooked white rice; 3 cups water; 4 tablespoons vegetable oil; 1 cup fresh bean sprouts; 1/2 cup chopped onion; 1 1/2 cups cooked medium shrimp, peeled and deveined without tail; 1/4 cup chopped green onion; 2 eggs, beaten; 1 teaspoon salt; 1/4 teaspoon ground black pepper; 4 tablespoons soy sauce; 1/4 teaspoon sesame oil; "
Thai Pineapple Chicken Curry,Thai,Asian,"Bring rice and water to a boil in a pot. Reduce heat to low, cover, and simmer 25 minutes.; In a bowl, whisk together curry paste and 1 can coconut milk. Transfer to a wok, and mix in remaining coconut milk, chicken, fish sauce, sugar, and bamboo shoots. Bring to a boil, and cook 15 minutes, until chicken juices run clear.; Mix the red bell pepper, green bell pepper, and onion into the wok. Continue cooking 10 minutes, until chicken juices run clear and peppers are tender. Remove from heat, and stir in pineapple. Serve over the cooked rice.; ; ",https://images.media-allrecipes.com/userphotos/560x315/3071027.jpg,https://www.allrecipes.com/recipe/86005/thai-pineapple-chicken-curry/,"2 cups uncooked jasmine rice; 1 quart water; 1/4 cup red curry paste; 2 (13.5 ounce) cans coconut milk; 2 skinless, boneless chicken breast halves - cut into thin strips; 3 tablespoons fish sauce; 1/4 cup white sugar; 1 1/2 cups sliced bamboo shoots, drained; 1/2 red bell pepper, julienned; 1/2 green bell pepper, julienned; 1/2 small onion, chopped; 1 cup pineapple chunks, drained; "
Baingan Bharta (Eggplant Curry),Indian,Asian,"Preheat oven to 450 degrees F (230 degrees C).; Place eggplant on a medium baking sheet. Bake 20 to 30 minutes in the preheated oven, until tender. Remove from heat, cool, peel, and chop.; Heat oil in a medium saucepan over medium heat. Mix in cumin seeds and onion. Cook and stir until onion is tender.; Mix ginger garlic paste, curry powder, and tomato into the saucepan, and cook about 1 minute. Stir in yogurt. Mix in eggplant and jalapeno pepper, and season with salt. Cover, and cook 10 minutes over high heat. Remove cover, reduce heat to low, and continue cooking about 5 minutes. Garnish with cilantro to serve.; ; ",https://images.media-allrecipes.com/userphotos/250x250/14597.jpg,https://www.allrecipes.com/recipe/47564/baingan-bharta-eggplant-curry/,"1 large eggplant; 2 tablespoons vegetable oil; 1 teaspoon cumin seeds; 1 medium onion, thinly sliced; 1 tablespoon ginger garlic paste; 1 tablespoon curry powder; 1 tomato, diced; 1/2 cup plain yogurt; 1 fresh jalapeno chile pepper, finely chopped; 1 teaspoon salt; 1/4 bunch cilantro, finely chopped; "
Sesame Shrimp Stir-Fry,Asian,Asian,"In a medium saucepan, bring salted water to a boil. Add rice, reduce heat, cover and simmer for 20 minutes.; While rice is simmering, combine shrimp, ginger, cayenne pepper, garlic, sesame seeds and black pepper in a large plastic food storage bag. Allow to marinate in the refrigerator.; Heat sesame oil in a large wok or skillet. Add red bell pepper and green onions; saute 3 to 4 minutes to soften slightly  Add teriyaki sauce. Add peas and shrimp with seasoning; saute 4 minutes or until shrimp are opaque.; Stir cornstarch into chicken broth and add to wok; cook, stirring until mixture boils. Sprinkle with salt. Spoon shrimp mixture over rice.; ; ",https://images.media-allrecipes.com/userphotos/560x315/421241.jpg,https://www.allrecipes.com/recipe/18101/sesame-shrimp-stir-fry/,"2 cups water; 1 cup uncooked white rice; 1 pound medium shrimp, peeled and deveined; 1/4 teaspoon ground ginger; 1/4 teaspoon cayenne pepper; 1 clove garlic, minced; 1 tablespoon sesame seeds; 1/4 teaspoon ground black pepper; 2 tablespoons sesame oil; 1 red bell pepper, sliced into thin strips; 3 green onions, sliced; 3 tablespoons teriyaki sauce; 1/2 pound sugar snap peas; 1/8 cup cornstarch; 3/4 cup chicken broth; 1/4 teaspoon salt; "
Sesame Seared Tuna,Japanese,Asian,"In a small bowl, stir together the soy sauce, mirin, honey and sesame oil. Divide into two equal parts. Stir the rice vinegar into one part and set aside as a dipping sauce.; Spread the sesame seeds out on a plate. Coat the tuna steaks with the remaining soy sauce mixture, then press into the sesame seeds to coat.; Heat olive oil in a cast iron skillet over high heat until very hot. Place steaks in the pan, and sear for about 30 seconds on each side. Serve with the dipping sauce and wasabi paste.; ; ",https://images.media-allrecipes.com/userphotos/560x315/3496846.jpg,https://www.allrecipes.com/recipe/71698/sesame-seared-tuna/,1/4 cup soy sauce; 1 tablespoon mirin (Japanese sweet wine); 1 tablespoon honey; 2 tablespoons sesame oil; 1 tablespoon rice wine vinegar; 4 (6 ounce) tuna steaks; 1/2 cup sesame seeds; wasabi paste; 1 tablespoon olive oil; 
Slammin' Salmon,Asian,Asian,"Stir balsamic vinegar, lemon juice, and soy sauce with salt, brown sugar, ground ginger, paprika, pepper, and red pepper flakes until the salt has dissolved. Stir in garlic, green onions, sesame oil, and peanut oil until well combined.; Pour marinade into a resealable plastic bag or glass bowl. Add salmon to marinade and gently toss to coat. Place into refrigerator and marinate 2 to 24 hours.; Prepare an outdoor grill for medium-high heat.; Drain excess marinade from salmon fillets. Grill until firm and opaque, about 4 minutes per side.; ; ",https://images.media-allrecipes.com/userphotos/560x315/4473181.jpg,https://www.allrecipes.com/recipe/137414/slammin-salmon/,"1/4 cup balsamic vinegar; 1/4 cup lemon juice; 1/4 cup soy sauce; 1 teaspoon salt; 1 tablespoon brown sugar; 1 1/2 teaspoons ground ginger; 1 teaspoon paprika; 1 teaspoon black pepper; 1 teaspoon crushed red pepper flakes; 4 cloves garlic, minced; 1/4 cup chopped green onions; 1 teaspoon sesame oil; 1/2 cup peanut oil; 8 (4 ounce) skinless, boneless salmon fillets; "
Easy Grilled Chicken Teriyaki,Asian,Asian,"Place chicken, teriyaki sauce, lemon juice, garlic, and sesame oil in a large resealable plastic bag. Seal bag, and shake to coat. Place in refrigerator for 24 hours, turning every so often.; Preheat grill for high heat.; Lightly oil the grill grate. Remove chicken from bag, discarding any remaining marinade. Grill for 6 to 8 minutes each side, or until juices run clear when chicken is pierced with a fork.; ; ",https://images.media-allrecipes.com/userphotos/560x315/874895.jpg,https://www.allrecipes.com/recipe/17784/easy-grilled-chicken-teriyaki/,"4 skinless, boneless chicken breast halves; 1 cup teriyaki sauce; 1/4 cup lemon juice; 2 teaspoons minced fresh garlic; 2 teaspoons sesame oil; "
Thai Red Chicken Curry,Thai,Asian,"Heat the oil in a large skillet over medium-high heat. Add the chicken pieces; cook and stir for about 3 minutes. Mix in the curry paste, zucchini, bell pepper, carrot and onion. Cook and stir for a few minutes.; Dissolve the cornstarch in the coconut milk, then pour into the skillet. Bring to a boil, then simmer over medium heat for 1 minutes. Right before serving, stir in the cilantro.; ; ",https://images.media-allrecipes.com/userphotos/560x315/796526.jpg,https://www.allrecipes.com/recipe/85815/thai-red-chicken-curry/,"2 teaspoons olive oil; 1 pound skinless, boneless chicken breast halves - cut into thin strips; 1 tablespoon Thai red curry paste; 1 cup sliced halved zucchini; 1 red bell pepper, seeded and sliced into strips; 1/2 cup sliced carrots; 1 onion, quartered then halved; 1 tablespoon cornstarch; 1 (14 ounce) can light coconut milk; 2 tablespoons chopped fresh cilantro; "
Baked Tofu Bites,Side Dish,Asian,"Preheat oven to 375 degrees F (190 degrees C). Lightly spray a non-stick baking sheet with oil.; Slice tofu into 1/2-inch slices, and gently press excess water out of tofu. Cut sliced tofu into 1/2-inch cubes.; In a bowl, stir together the soy sauce, maple syrup, ketchup, vinegar, and hot sauce. Stir in sesame seeds, garlic powder, black pepper, and liquid smoke. Gently stir tofu cubes into sauce. Cover, and marinate at least 5 minutes.; Place the tofu on the baking sheet in a single layer. Bake in a preheated oven for 15 minutes. Turn tofu, and bake until the tofu turns golden brown, about 15 minutes more.; ; ",https://images.media-allrecipes.com/userphotos/560x315/20406.jpg,https://www.allrecipes.com/recipe/86313/baked-tofu-bites/,1 (16 ounce) package extra firm tofu; 1/4 cup soy sauce; 2 tablespoons maple syrup; 2 tablespoons ketchup; 1 tablespoon vinegar; 1 dash hot sauce; 1 tablespoon sesame seeds; 1/4 teaspoon garlic powder; 1/4 teaspoon ground black pepper; 1 teaspoon liquid smoke flavoring; 
Chicken Jalfrezi,Pakistani,Asian,"Heat the oil in a large deep skillet over medium-high heat. Add onions and garlic, and cook for about 2 minutes. Add the chicken, and season with turmeric, chili powder and salt. Fry gently, scraping the bottom of the pan frequently and turning the chicken.; Pour in the tomatoes with their juice, cover the pan, and simmer over medium heat for 20 minutes. Uncover, and simmer for another 10 minutes to let the excess liquid evaporate.; Add the ghee, cumin, ground coriander, ginger and cilantro, and simmer for another 5 to 7 minutes. Serve the chicken pieces with sauce spooned over the top.; ; ",https://images.media-allrecipes.com/userphotos/560x315/1221508.jpg,https://www.allrecipes.com/recipe/28372/chicken-jalfrezi/,"2 tablespoons vegetable oil; 1 onion, grated; 2 cloves garlic, chopped; 1 1/2 pounds boneless skinless chicken thighs, cut in half; 3 teaspoons ground turmeric; 1 teaspoon chili powder; 1 1/2 teaspoons salt; 1 (14.5 ounce) can peeled and diced tomatoes; 2 tablespoons ghee (clarified butter); 3 teaspoons ground cumin; 3 teaspoons ground coriander; 2 tablespoons grated fresh ginger root; 1/2 cup chopped cilantro leaves; "
Chef John's Caramel Chicken,Asian,Asian,"Whisk brown sugar, water, fish sauce, rice vinegar, soy sauce, garlic, and ginger in a bowl until brown sugar is completely dissolved, about 1 minute. Set aside.; Heat oil over high heat in a skillet. Stir in chicken.; Pour 1/3 cup of the brown sugar mixture over chicken; cook and stir until the brown sugar mixture has a syrup-like consistency, 6 to 7 minutes.; Pour in the remaining brown sugar mixture; cook until chicken is tender and no longer pink inside, about 5 minutes.; Stir in in peanuts, jalapenos and green onion; cook until warmed through, 2 to 3 minutes.; Garnish with cilantro and serve.; ; ",https://images.media-allrecipes.com/userphotos/560x315/3539484.jpg,https://www.allrecipes.com/recipe/221950/chef-johns-caramel-chicken/,"3/4 cup dark brown sugar; 1/3 cup cold water; 1/3 cup fish sauce; 1/3 cup rice vinegar; 1 tablespoon soy sauce; 4 cloves garlic, crushed; 1 tablespoon fresh grated ginger; 1 teaspoon vegetable oil; 8 boneless, skinless chicken thighs, quartered; 1/2 cup roasted peanuts; 2 fresh jalapeno peppers, seeded and sliced; 1 bunch green onions, chopped; fresh cilantro sprigs, for garnish; "
Filipino Lumpia,Wraps and Rolls,Asian,"Place a wok or large skillet over high heat, and pour in 1 tablespoon vegetable oil. Cook pork, stirring frequently, until no pink is showing. Remove pork from pan and set aside. Drain grease from pan, leaving a thin coating. Cook garlic and onion in the same pan for 2 minutes. Stir in the cooked pork, carrots, green onions, and cabbage. Season with pepper, salt, garlic powder, and soy sauce. Remove from heat, and set aside until cool enough to handle.; Place three heaping tablespoons of the filling diagonally near one corner of each wrapper, leaving a 1 1/2 inch space at both ends. Fold the side along the length of the filling over the filling, tuck in both ends, and roll neatly. Keep the roll tight as you assemble. Moisten the other side of the wrapper with water to seal the edge. Cover the rolls with plastic wrap to retain moisture.; Heat a heavy skillet over medium heat, add oil to 1/2 inch depth, and heat for 5 minutes. Slide 3 or 4 lumpia into the oil. Fry the rolls for 1 to 2 minutes, until all sides are golden brown. Drain on paper towels. Serve immediately.; ; ",https://images.media-allrecipes.com/userphotos/560x315/6244851.jpg,https://www.allrecipes.com/recipe/35151/filipino-lumpia/,"1 tablespoon vegetable oil; 1 pound ground pork; 2 cloves garlic, crushed; 1/2 cup chopped onion; 1/2 cup minced carrots; 1/2 cup chopped green onions; 1/2 cup thinly sliced green cabbage; 1 teaspoon ground black pepper; 1 teaspoon salt; 1 teaspoon garlic powder; 1 teaspoon soy sauce; 30 lumpia wrappers; 2 cups vegetable oil for frying; "
Indonesian Satay,Indonesian,Asian,"In a bowl, mix soy sauce, tomato sauce, peanut oil, garlic, black pepper, and cumin. Place chicken into the mixture, and stir to coat. Cover, and marinate in the refrigerator for at least 15 minutes, but not overnight. This will make the meat too dark.; Preheat the grill for high heat.; Heat vegetable oil in a saucepan over medium heat, and saute onion and garlic until lightly browned. Mix in water, peanut butter, soy sauce, and sugar. Cook and stir until well blended. Remove from heat, mix in lemon juice, and set aside.; Lightly oil the grill grate. Thread chicken onto skewers, and discard marinade. Grill skewers about 5 minutes per side, until chicken juices run clear. Serve with the peanut sauce.; ; ",https://images.media-allrecipes.com/userphotos/560x315/971617.jpg,https://www.allrecipes.com/recipe/36875/indonesian-satay/,"3 tablespoons soy sauce; 3 tablespoons tomato sauce; 1 tablespoon peanut oil; 2 cloves garlic, peeled and minced; 1 pinch ground black pepper; 1 pinch ground cumin; 6 skinless, boneless chicken breast halves - cubed; 1 tablespoon vegetable oil; 1/4 cup minced onion; 1 clove garlic, peeled and minced; 1 cup water; 1/2 cup chunky peanut butter; 2 tablespoons soy sauce; 2 tablespoons white sugar; 1 tablespoon lemon juice; skewers; "
Aloo Phujia,Indian,Asian,"Lightly brown onion in oil in a medium size skillet.; Stir in salt, cayenne, turmeric and cumin. Add potatoes and cook 10 minutes stirring occasionally.; Add tomatoes, cover pan and cook until potatoes are soft, about 10 minutes.; ; ",https://images.media-allrecipes.com/userphotos/560x315/695663.jpg,https://www.allrecipes.com/recipe/14035/aloo-phujia/,"1 onion, chopped; 1/4 cup vegetable oil; 1 pound potatoes, peeled and cubed; 1 teaspoon salt; 1/2 teaspoon cayenne pepper; 1/2 teaspoon ground turmeric; 1/4 teaspoon ground cumin; 2 tomatoes, chopped; "
Chicken Lo Mein,Asian,Asian,"In a medium, non-reactive bowl, combine the chicken with 2 1/2 teaspoons of white sugar, 1 1/2 tablespoons vinegar and 1/4 cup soy sauce. Mix this together and coat the chicken well. Cover and let marinate in the refrigerator for at least 1 hour.; In another medium bowl, combine the chicken broth, water, sesame oil and ground black pepper with the remaining sugar, vinegar and soy sauce. In a separate small bowl, dissolve the cornstarch with some of this mixture and slowly add to the bulk of the mixture, stirring well. Set aside.; Cook the linguine according to package directions, drain and set aside. Heat 1 tablespoon of the vegetable oil in a wok or large saucepan over high heat until it starts to smoke. Add the chicken and stir-fry for 4 to 5 minutes, or until browned. Transfer this and all juices to a warm plate.; Heat the remaining vegetable oil in the wok or pan over high heat. Add the ginger, garlic, mushrooms and green onions, and stir-fry for 30 seconds. Add the reserved sauce mixture and then the chicken. Simmer until the sauce begins to thicken, about 2 minutes. Add the reserved noodles and toss gently, coating everything well with the sauce.; ; ",https://images.media-allrecipes.com/userphotos/560x315/72787.jpg,https://www.allrecipes.com/recipe/17092/chicken-lo-mein/,"4 skinless, boneless chicken breast halves - cut into thin strips; 5 teaspoons white sugar, divided; 3 tablespoons rice wine vinegar; 1/2 cup soy sauce, divided; 1 1/4 cups chicken broth; 1 cup water; 1 tablespoon sesame oil; 1/2 teaspoon ground black pepper; 2 tablespoons cornstarch; 1 (12 ounce) package uncooked linguine pasta; 2 tablespoons vegetable oil, divided; 2 tablespoons minced fresh ginger root; 1 tablespoon minced garlic; 1/2 pound fresh shiitake mushrooms, stemmed and sliced; 6 green onions, sliced diagonally into 1/2 inch pieces; "
Japanese-Style Sesame Green Beans,Green Beans,Asian,"Warm a large skillet or wok over medium heat. When the skillet is hot, pour in canola and sesame oils, then place whole green beans into the skillet. Stir the beans to coat with oil. Cook until the beans are bright green and slightly browned in spots, about 10 minutes. Remove from heat, and stir in soy sauce; cover, and let sit about 5 minutes. Transfer to a serving platter, and sprinkle with toasted sesame seeds.; ; ",https://images.media-allrecipes.com/userphotos/250x250/121929.jpg,https://www.allrecipes.com/recipe/87590/japanese-style-sesame-green-beans/,"1 tablespoon canola oil; 1 1/2 teaspoons sesame oil; 1 pound fresh green beans, washed; 1 tablespoon soy sauce; 1 tablespoon toasted sesame seeds; "
Asian Ginger Dressing,Salad Dressings,Asian,"In a 1 pint glass jar or larger, combine the garlic, ginger, olive oil, rice vinegar, soy sauce, honey, and water. Cover the jar with a tight fitting lid, and shake well. Remove lid, and heat jar in the microwave for 1 minute just to dissolve the honey. Let cool, and shake well before serving. Store covered in the refrigerator.; ; ",https://images.media-allrecipes.com/userphotos/560x315/2659.jpg,https://www.allrecipes.com/recipe/49923/asian-ginger-dressing/,"3 cloves garlic, minced; 2 tablespoons minced fresh ginger root; 3/4 cup olive oil; 1/3 cup rice vinegar; 1/2 cup soy sauce; 3 tablespoons honey; 1/4 cup water; "
Addictive Sesame Chicken,Asian,Asian,"Combine the 2 tablespoons soy sauce, the dry sherry, dash of sesame oil, flour, 2 tablespoons cornstarch, 2 tablespoons water, baking powder, baking soda, and canola oil in a large bowl. Mix well; stir in the chicken. Cover and refrigerate for 20 minutes.; Heat oil in a deep-fryer or large saucepan to 375 degrees F (190 degrees C).; Combine the 1/2 cup water, chicken broth, vinegar, 1/4 cup cornstarch, sugar, 2 tablespoons soy sauce, 2 tablespoons sesame oil, red chili paste, and garlic in a small saucepan. Bring to a boil, stirring constantly. Turn heat to low and keep warm, stirring occasionally.; Fry the marinated chicken in batches until cooked through and golden brown, 3 to 5 minutes. Drain on paper towels.; Transfer the chicken to a large platter, top with sauce, and sprinkle with sesame seeds.; ; ",https://images.media-allrecipes.com/userphotos/250x250/674239.jpg,https://www.allrecipes.com/recipe/61071/addictive-sesame-chicken/,"2 tablespoons soy sauce; 1 tablespoon dry sherry; 1 dash sesame oil; 2 tablespoons all-purpose flour; 2 tablespoons cornstarch; 2 tablespoons water; 1/4 teaspoon baking powder; 1/4 teaspoon baking soda; 1 teaspoon canola oil; 4 (5 ounce) skinless, boneless chicken breast halves, cut into 1-inch cubes; 1 quart vegetable oil for frying; 1/2 cup water; 1 cup chicken broth; 1/4 cup distilled white vinegar; 1/4 cup cornstarch; 1 cup white sugar; 2 tablespoons soy sauce; 2 tablespoons sesame oil; 1 teaspoon red chile paste (such as Thai Kitchen®); 1 clove garlic, minced; 2 tablespoons toasted sesame seeds; "
Crab Rangoon III,Crab,Asian,"In a large, heavy sauce pan heat oil to 375 degrees F (190 degrees C).; In a medium bowl, mix cream cheese, crabmeat, garlic powder, paprika and water chestnuts.; Place approximately 1 teaspoon of the cream cheese mixture in the center of wonton wrappers. Moisten wrapper edges with water, fold over the mixture and pinch to seal.; In small batches, fry the wontons 3 to 5 minutes, or until golden brown.; ; ",https://images.media-allrecipes.com/userphotos/560x315/75734.jpg,https://www.allrecipes.com/recipe/25536/crab-rangoon-iii/,"1 quart oil for deep frying; 1 (8 ounce) package cream cheese, softened; 2 (6 ounce) cans crabmeat, drained and flaked; 1/2 teaspoon garlic powder; 1/4 teaspoon paprika; 2 tablespoons water chestnuts, drained and chopped; 1 (14 ounce) package wonton wrappers; "
Broccoli and Ramen Noodle Salad,Broccoli Salad,Asian,"In a large salad bowl, combine the slaw, broken noodles and green onions.; Whisk together the sugar, oil, vinegar and ramen seasoning packets. Pour over salad and toss to evenly coat. Refrigerate until chilled; top with peanuts and sunflower seeds before serving.; ; ",https://images.media-allrecipes.com/userphotos/560x315/1129965.jpg,https://www.allrecipes.com/recipe/16414/broccoli-and-ramen-noodle-salad/,"1 (16 ounce) package broccoli coleslaw mix; 2 (3 ounce) packages chicken flavored ramen noodles; 1 bunch green onions, chopped; 1 cup unsalted peanuts; 1 cup sunflower seeds; 1/2 cup white sugar; 1/4 cup vegetable oil; 1/3 cup cider vinegar; "
Miso Soup,Seafood,Asian,"In a medium saucepan over medium-high heat, combine dashi granules and water; bring to a boil. Reduce heat to medium, and whisk in the miso paste. Stir in tofu. Separate the layers of the green onions, and add them to the soup. Simmer gently for 2 to 3 minutes before serving.; ; ",https://images.media-allrecipes.com/userphotos/560x315/365400.jpg,https://www.allrecipes.com/recipe/13107/miso-soup/,"2 teaspoons dashi granules; 4 cups water; 3 tablespoons miso paste; 1 (8 ounce) package silken tofu, diced; 2 green onions, sliced diagonally into 1/2 inch pieces; "
